cod_concesion,COD_CONTADOR_ACT,CALIBRE
VR,J17LA639031Q,13.0
VR,3030356_MIG,13.0
VR,EZ023188A,13.0
VR,EZ023189B,13.0
VR,Q18GA0042930F,13.0
VR,,
VR,J15LA850980U,13.0
VR,,
VR,,
VR,Q18GA043095X,13.0
VR,,
VR,,
VR,,
VR,,
VR,,
VR,,
VR,,
VR,J14LA719754N,13.0
VR,Q19GA023723B,13.0
